id,title,description,image_link,link,price,currency,availability,brand,google_product_category
13353,London Clapham Junction (DAYTIME SHOW): 18/04/26,BINGO RAVE CHEESY SINGALONGS DANCE OFFS SICK PRIZES & CASH CASH MONEY TO BE WON Each venue will have a different layout and facilities and so we would always recommend contacting the venues directly if you have any specific access enquiries.,https://cdn.bongosbingo.co.uk/media/event_date_description/Image-9-London_Clapham_Junction.jpg,https://www.bongosbingo.co.uk/event-date/13353/london-clapham-junction-daytime-show-180426/,20.00,GBP,out of stock,Bongos Bingo,Events
13298,Birmingham (DAYTIME SHOW): 18/04/26,BINGO RAVE CHEESY SINGALONGS DANCE OFFS SICK PRIZES & CASH CASH MONEY TO BE WON Each venue will have a different layout and facilities and so we would always recommend contacting the venues directly if you have any specific access enquiries.,https://cdn.bongosbingo.co.uk/media/event_date_description/Image-14-Birmingham.jpg,https://www.bongosbingo.co.uk/event-date/13298/birmingham-daytime-show-180426/,19.00,GBP,out of stock,Bongos Bingo,Events
13310,Glasgow (DAYTIME SHOW): 18/04/26,"BINGO RAVE CHEESY SINGALONGS DANCE OFFS SICK PRIZES & CASH CASH MONEY TO BE WON Each venue will have a different layout and facilities and so we would always recommend contacting the venues directly if you have any specific access enquiries. Please note: We ask all groups to arrive at the venue together. If you cannot all arrive together, please ensure that the correct tickets are distributed to the correct person. If a customer tries to gain entry into the venue using an already scanned ticket, they may be refused entry.",https://cdn.bongosbingo.co.uk/media/event_date_description/Image-19-Glasgow.jpg,https://www.bongosbingo.co.uk/event-date/13310/glasgow-daytime-show-180426/,21.00,GBP,out of stock,Bongos Bingo,Events
13356,Manchester (DAYTIME SHOW): 18/04/26,BINGO RAVE CHEESY SINGALONGS DANCE OFFS SICK PRIZES & CASH CASH MONEY TO BE WON Each venue will have a different layout and facilities and so we would always recommend contacting the venues directly if you have any specific access enquiries.,https://cdn.bongosbingo.co.uk/media/event_date_description/Image-13-Manchester.jpg,https://www.bongosbingo.co.uk/event-date/13356/manchester-daytime-show-180426/,19.00,GBP,out of stock,Bongos Bingo,Events
13318,Kingston: 18/04/26,BINGO RAVE CHEESY SINGALONGS DANCE OFFS SICK PRIZES & CASH CASH MONEY TO BE WON Each venue will have a different layout and facilities and so we would always recommend contacting the venues directly if you have any specific access enquiries. ID is required from everybody regardless of age. ID must either be one of the following: Drivers Licence Passport National ID card Pass Logo Age Verification Card,https://cdn.bongosbingo.co.uk/media/event_date_description/Image-3-Kingston.jpg,https://www.bongosbingo.co.uk/event-date/13318/kingston-180426/,16.00,GBP,out of stock,Bongos Bingo,Events
13383,Southampton: 18/04/26,BINGO RAVE CHEESY SINGALONGS DANCE OFFS SICK PRIZES & CASH CASH MONEY TO BE WON Each venue will have a different layout and facilities and so we would always recommend contacting the venues directly if you have any specific access enquiries.,https://cdn.bongosbingo.co.uk/media/event_date_description/Image-4-Southampton.jpg,https://www.bongosbingo.co.uk/event-date/13383/southampton-180426/,16.00,GBP,out of stock,Bongos Bingo,Events
13368,Nottingham: 18/04/26,BINGO RAVE CHEESY SINGALONGS DANCE OFFS SICK PRIZES & CASH CASH MONEY TO BE WON Each venue will have a different layout and facilities and so we would always recommend contacting the venues directly if you have any specific access enquiries.,https://cdn.bongosbingo.co.uk/media/event_date_description/Image-4-Nottingham.jpg,https://www.bongosbingo.co.uk/event-date/13368/nottingham-180426/,17.00,GBP,out of stock,Bongos Bingo,Events
13315,Glasgow (EVENING SHOW): 18/04/26,"BINGO RAVE CHEESY SINGALONGS DANCE OFFS SICK PRIZES & CASH CASH MONEY TO BE WON Each venue will have a different layout and facilities and so we would always recommend contacting the venues directly if you have any specific access enquiries. Please note: We ask all groups to arrive at the venue together. If you cannot all arrive together, please ensure that the correct tickets are distributed to the correct person. If a customer tries to gain entry into the venue using an already scanned ticket, they may be refused entry.",https://cdn.bongosbingo.co.uk/media/event_date_description/Image-20-Glasgow.jpg,https://www.bongosbingo.co.uk/event-date/13315/glasgow-evening-show-180426/,21.00,GBP,out of stock,Bongos Bingo,Events
13398,Aberdeen presents 90s vs 00s: 18/04/26,"90s vs 00s: It’s time to settle the argument. Two eras. Two soundtracks. One gloriously chaotic game of Bongo’s Bingo. The 90s bring the anthems you grew up on — hands-in-the-air choruses, iconic pop moments and tunes that still absolutely go off. The 00s fire back with guilty pleasures, club classics and songs you know every word to, whether you admit it or not. All night long we’re putting them head-to-head with the tunes, the prizes and the bragging rights on the line. And yes, fancy dress ideas galore. Think double denim, shell suits and bucket hats versus velour tracksuits, trucker caps and low-rise chaos. If you’ve ever wanted an excuse to dress like a pop star, this is it. Expect huge singalongs, ridiculous prizes, confetti everywhere and a room full of people losing their voices. Bongo’s Bingo: 90s v 00s. Pick a side. Dress the part. Lose all dignity. Each venue will have a different layout and facilities and so we would always recommend contacting the venues directly if you have any specific access enquiries.",https://cdn.bongosbingo.co.uk/media/event_date_description/90s-Vs-00s-SQUARE.jpg,https://www.bongosbingo.co.uk/event-date/13398/aberdeen-presents-90s-vs-00s-180426/,17.00,GBP,out of stock,Bongos Bingo,Events
13394,Leeds: 18/04/26,BINGO RAVE CHEESY SINGALONGS DANCE OFFS SICK PRIZES & CASH CASH MONEY TO BE WON Each venue will have a different layout and facilities and so we would always recommend contacting the venues directly if you have any specific access enquiries.,https://cdn.bongosbingo.co.uk/media/event_date_description/Image-6-Leeds.jpg,https://www.bongosbingo.co.uk/event-date/13394/leeds-180426/,16.00,GBP,out of stock,Bongos Bingo,Events
